,idf_weights
zoom,8.060762448107315
family bully,8.060762448107315
fantastic,8.060762448107315
fancy,8.060762448107315
refuse allow,8.060762448107315
famous,8.060762448107315
famine,8.060762448107315
family restaurant,8.060762448107315
refuse cancel,8.060762448107315
far loud,8.060762448107315
familiar,8.060762448107315
fam,8.060762448107315
refuse watch,8.060762448107315
fakenews,8.060762448107315
fake people,8.060762448107315
regard covid,8.060762448107315
far bad,8.060762448107315
farce,8.060762448107315
extract benefit,8.060762448107315
fatality,8.060762448107315
fault use,8.060762448107315
fault hide,8.060762448107315
reelect,8.060762448107315
fault bully,8.060762448107315
refer covid19,8.060762448107315
fatality rate,8.060762448107315
refer virus,8.060762448107315
refrain,8.060762448107315
reflect,8.060762448107315
reflect hypocrisy,8.060762448107315
fashion,8.060762448107315
fascist bully,8.060762448107315
reflection,8.060762448107315
farm manipulation,8.060762448107315
fake bully,8.060762448107315
regard virus,8.060762448107315
region specific,8.060762448107315
face bully,8.060762448107315
fact asian,8.060762448107315
relative,8.060762448107315
face mask,8.060762448107315
face husband's,8.060762448107315
relative get,8.060762448107315
relatively,8.060762448107315
relatively low,8.060762448107315
regional,8.060762448107315
f k,8.060762448107315
eye chismisan,8.060762448107315
relief bill,8.060762448107315
religion,8.060762448107315
extreme bullying,8.060762448107315
extraordinaire choose,8.060762448107315
fact bully,8.060762448107315
fact coronavirus,8.060762448107315
fact covid19,8.060762448107315
relate virus,8.060762448107315
relate covid,8.060762448107315
reiterate,8.060762448107315
fail act,8.060762448107315
fail bully,8.060762448107315
fail find,8.060762448107315
fail get,8.060762448107315
fail miserably,8.060762448107315
fail world,8.060762448107315
failing,8.060762448107315
fails,8.060762448107315
fails lead,8.060762448107315
failure face,8.060762448107315
failure leader,8.060762448107315
redirect,8.060762448107315
red cross,8.060762448107315
recruit,8.060762448107315
really show,8.060762448107315
really fuck,8.060762448107315
film,8.060762448107315
really great,8.060762448107315
really old,8.060762448107315
really sad,8.060762448107315
fighting,8.060762448107315
really sick,8.060762448107315
fiasco,8.060762448107315
really suck,8.060762448107315
really want,8.060762448107315
reason degrade,8.060762448107315
reason hate,8.060762448107315
reason love,8.060762448107315
field,8.060762448107315
really care,8.060762448107315
realize people,8.060762448107315
realize can't,8.060762448107315
realization,8.060762448107315
realdonaldtrump lead,8.060762448107315
find someone,8.060762448107315
real world,8.060762448107315
find strong,8.060762448107315
find virus,8.060762448107315
real virus,8.060762448107315
real story,8.060762448107315
finish,8.060762448107315
real people,8.060762448107315
fire refuse,8.060762448107315
fire sue,8.060762448107315
fire white,8.060762448107315
real leadership,8.060762448107315
fictional,8.060762448107315
ffs,8.060762448107315
recover bully,8.060762448107315
recommendation,8.060762448107315
federal government,8.060762448107315
recognise,8.060762448107315
fed lower,8.060762448107315
fed drop,8.060762448107315
fed cut,8.060762448107315
recognition,8.060762448107315
feb,8.060762448107315
fever,8.060762448107315
fearmongering,8.060762448107315
fear virus,8.060762448107315
fear use,8.060762448107315
fear admire,8.060762448107315
record case,8.060762448107315
fe,8.060762448107315
federal reserve,8.060762448107315
recieve,8.060762448107315
recession,8.060762448107315
recently sister,8.060762448107315
feel bad,8.060762448107315
feel bully,8.060762448107315
recent past,8.060762448107315
feel safe,8.060762448107315
feel sick,8.060762448107315
